informal,formal,input_processed,target_processed
तु काय करतोस?,हे घ्या आहे!,तु काय आहे करतोस,हे घ्या आहे
काय चाललंय?,माझा नंबर घेतला का?,सध्या काय सुरू आहे?,माझा नंबर घेतला का
तु काय करतोस?,खूप थंड आहे आहे!,तु काय आहे करतोस,अत्यंत थंड आहे आहे
काय चाललंय?,काय चाललंय आहे ग?,सध्या काय सुरू आहे?,काय आहे चाललंय आहे ग
चल निघूया.,कस वाटलं आहे?,चला निघूया,कस वाटलं आहे
हे मस्त आहे!,काय करता आहात आता?,हे छान आहे,काय आहे करता आहात आता
बघितलंस का?,तुम्ही तयार आहात का?,बघितलंस का,तुम्ही तयार आहात का
सांग ना मला!,आम्ही जाऊया का?,कृपया सांगा कृपया माझ्यासाठी,आम्ही जाऊया का
काय रे हाच का?,थोडं शांत आहे!,काय आहे महोदय हाच का,थोडं शांत आहे
अजून वेळ लागेल का?,मला समजलं आहे का?,अजून वेळ लागेल का,माझ्यासाठी समजलं आहे का
खूप भूक लागलीय.,कधी येणार आहात?,अत्यंत भूक लागलीय,कधी येणार आहात
चल भेटू नंतर.,काय बघता आहात?,चला भेटूया पश्चात,काय आहे बघता आहात
माझं काम झालं.,आता काहीच नाही आहे.,माझं काम झाले आहे,आता काहीच नाही आहे
कधी येणार?,तुमचा मित्र आला का?,कधी येणार,तुमचा मित्र आला का
हा भारी आहे!,हे काय आहे?,हा छान आहे,हे काय आहे आहे
थांब जरा!,काय झाले आहे?,थांबा जरा,काय आहे झाले आहे
मस्त चाललंय!,काय करणार आहात?,छान चाललंय,काय आहे करणार आहात
तुला माहित आहे का?,मला सांगाल का?,तुला माहिती आहे का,माझ्यासाठी सांगाल का
हे खरं आहे का?,आता थांब आहे!,हे खरं आहे का,आता थांबा आहे
सुट्टी आहे का?,तुम्ही तयार आहात का?,सुट्टी आहे का,तुम्ही तयार आहात का
काय झालं रे तुला?,खूप मजा आली आहे!,काय आहे झाले आहे महोदय तुला,अत्यंत मजा आली आहे
हे घे.,काय खायला आहे?,हे घे,काय आहे खायला आहे
थोडं थांब.,हे घे आहे,थोडं थांबा,हे घे आहे
आपण भेटलो का पूर्वी?,तुमचा अभ्यास झाला का?,आपण भेटलो का पूर्वी,तुमचा अभ्यास झाला का
तू कुठे जातोय?,माझं काम संपलं आहे.,तू कुठे जातोय,माझं काम संपलं आहे
काय रे मजा!,आता निघूया का?,काय आहे महोदय मजा,आता निघूया का
काय करतोय तू उद्या?,कस चाललंय आहे?,काय आहे करतोय तू उद्या,कस चाललंय आहे
माझं काही समजलं नाही!,तुम्ही तयार आहात का?,माझं काही समजलं नाही,तुम्ही तयार आहात का
तू आला का?,खूप गरम आहे आहे!,तू आला का,अत्यंत गरम आहे आहे
थांब थोडा,माझं लक्ष नाही आहे.,थांबा थोडा,माझं लक्ष नाही आहे
कस वाटतंय?,कस वाटलं आहे?,कस वाटतंय,कस वाटलं आहे
आता पोहचशील का?,तुम्ही काय करता आहात?,आता पोहचशील का,तुम्ही काय आहे करता आहात
हे मला द्या.,काय चाललंय आहे?,हे माझ्यासाठी द्या,काय आहे चाललंय आहे
काय खायला आहे?,थोडं थांब आहे.,काय आहे खायला आहे,थोडं थांबा आहे
तुझ्या घरात कोण आहे?,कस आहे?,तुझ्या घरात कोण आहे,कस आहे
मला नको आहे.,तुम्ही आला का?,माझ्यासाठी नको आहे,तुम्ही आला का
थोडा जलद करा!,तुम्ही काय करता आहात?,थोडा जलद करा,तुम्ही काय आहे करता आहात
किती वाजले?,काय चाललंय आहे?,सध्या किती वाजले आहेत?,काय आहे चाललंय आहे
तू तयार आहेस?,चल निघूया आहे.,तू तयार आहेस,चला निघूया आहे
अरे रडू नकोस!,हे मस्त आहे आहे!,अरे रडू नकोस,हे छान आहे आहे
काय करत आहेस?,बघितलं का?,काय आहे करत आहेस,बघितलं का
काय झालं?,सांग ना मला आहे!,काय आहे झाले आहे,कृपया सांगा कृपया माझ्यासाठी आहे
खूप थकलेय.,काय रे हाच आहे का?,अत्यंत थकलेय,काय आहे महोदय हाच आहे का
आता काहीतरी खाऊ का?,अजून वेळ लागेल आहे का?,आता काहीतरी खाऊ का,अजून वेळ लागेल आहे का
मला समजलं नाही.,खूप भूक लागली आहे.,माझ्यासाठी समजलं नाही,अत्यंत भूक लागली आहे
काय करतोस?,चल भेटू नंतर आहे.,काय आहे करतोस,चला भेटूया पश्चात आहे
थांब ना!,माझं काम झालं आहे.,थांबा कृपया,माझं काम झाले आहे आहे
माझं लक्ष नाही आहे.,कधी येणार?,माझं लक्ष नाही आहे,कधी येणार
तू येणार आहेस?,हा भारी आहे आहे!,तू येणार आहेस,हा छान आहे आहे
कधी भेटू?,थांब जरा आहे!,कधी भेटूया,थांबा जरा आहे
तुझं नाव काय?,मस्त चाललंय आहे!,तुझं नाव काय आहे,छान चाललंय आहे
हे सगळं खरं का?,तुम्हाला माहित आहे का?,हे सगळं खरं का,तुम्हाला माहिती आहे का
मला काही सांग.,हे खरं आहे आहे का?,माझ्यासाठी काही कृपया सांगा,हे खरं आहे आहे का
आधी जा.,सुट्टी आहे आहे का?,आधी जा,सुट्टी आहे आहे का
किती दिवस झाले?,काय झाले आहे?,किती दिवस झाले,काय आहे झाले आहे
आता पोहचलंय?,हे घे आहे.,आता पोहचलंय,हे घे आहे
तू उशिरा आला?,तुम्ही काय करता?,तू उशिरा आला,तुम्ही काय आहे करता
हे किती आहे?,काय चाललंय का?,हे किती आहे,काय आहे चाललंय का
मला मदत करशील का?,चल निघूया आहे.,माझ्यासाठी मदत करशील का,चला निघूया आहे
तू ठीक आहेस का?,हे मस्त आहे आहे!,तू ठीक आहेस का,हे छान आहे आहे
कस चाललंय?,बघितलंत का?,कस चाललंय,बघितलंत का
कधी सुट्टी आहे?,सांग ना मला आहे!,कधी सुट्टी आहे,कृपया सांगा कृपया माझ्यासाठी आहे
हे घ्या!,काय रे हाच आहे का?,हे घ्या,काय आहे महोदय हाच आहे का
माझा नंबर घेतला?,अजून वेळ लागेल आहे का?,माझा नंबर घेतला,अजून वेळ लागेल आहे का
खूप थंड आहे!,खूप भूक लागली आहे.,अत्यंत थंड आहे,अत्यंत भूक लागली आहे
काय चाललंय ग?,चल भेटू नंतर आहे.,काय आहे चाललंय ग,चला भेटूया पश्चात आहे
कस वाटलं?,माझं काम झालं आहे.,कस वाटलं,माझं काम झाले आहे आहे
काय करतोस आता?,कधी येणार?,काय आहे करतोस आता,कधी येणार
तुम्ही तयार आहात का?,हा भारी आहे आहे!,तुम्ही तयार आहात का,हा छान आहे आहे
आम्ही जाऊया का?,थांब जरा आहे!,आम्ही जाऊया का,थांबा जरा आहे
थोडं शांत!,मस्त चाललंय आहे!,थोडं शांत,छान चाललंय आहे
मला समजलं का?,तुम्हाला माहित आहे का?,माझ्यासाठी समजलं का,तुम्हाला माहिती आहे का
कधी येणार आहेस?,हे खरं आहे आहे का?,कधी येणार आहेस,हे खरं आहे आहे का
काय बघतोय?,सुट्टी आहे आहे का?,काय आहे बघतोय,सुट्टी आहे आहे का
आता काहीच नाही.,काय झालं आहे का?,आता काहीच नाही,काय आहे झाले आहे आहे का
तुझा मित्र आला?,हे घे आहे.,तुझा मित्र आला,हे घे आहे
हे काय आहे?,थोडं थांब आहे.,हे काय आहे आहे,थोडं थांबा आहे
काय झालं?,आपण भेटलो का पूर्वी?,काय आहे झाले आहे,आपण भेटलो का पूर्वी
काय करणार?,तुम्ही कुठे जाता?,काय आहे करणार,तुम्ही कुठे जाता
मला सांगशील का?,काय मजा आहे!,माझ्यासाठी सांगशील का,काय आहे मजा आहे
आता थांब!,तुम्ही काय करता उद्या?,आता थांबा,तुम्ही काय आहे करता उद्या
तू तयार आहेस?,माझं काही समजलं नाही आहे.,तू तयार आहेस,माझं काही समजलं नाही आहे
खूप मजा आली!,तुम्ही आला का?,अत्यंत मजा आली,तुम्ही आला का
काय खायला आहे?,थांब थोडा आहे.,काय आहे खायला आहे,थांबा थोडा आहे
हे घे,कस वाटतंय आहे?,हे घे,कस वाटतंय आहे
तुझा अभ्यास झाला?,आता पोहचशील आहात का?,तुझा अभ्यास झाला,आता पोहचशील आहात का
माझं काम संपलं.,हे मला द्या आहे.,माझं काम संपलं,हे माझ्यासाठी द्या आहे
आता निघूया?,काय खायला आहे आहे?,आता निघूया,काय आहे खायला आहे आहे
कस चाललंय?,तुमच्या घरात कोण आहे?,कस चाललंय,तुमच्या घरात कोण आहे
तुम्ही तयार आहात?,मला नको आहे आहे.,तुम्ही तयार आहात,माझ्यासाठी नको आहे आहे
खूप गरम आहे!,थोडा जलद करा आहे!,अत्यंत गरम आहे,थोडा जलद करा आहे
माझं लक्ष नाहीं.,किती वाजले आहे?,माझं लक्ष नाहीं,किती वाजले आहे
कस वाटलं?,तुम्ही तयार आहात का?,कस वाटलं,तुम्ही तयार आहात का
काय करतोय?,अरे रडू नका!,काय आहे करतोय,अरे रडू नका
काय चाललंय?,तुम्ही काय करता आहात?,सध्या काय सुरू आहे?,तुम्ही काय आहे करता आहात
थोडं थांब.,काय झालं आहे?,थोडं थांबा,काय आहे झाले आहे आहे
कस आहे?,खूप थकले आहेत.,कस आहे,अत्यंत थकले आहेत
तू आला?,आता काहीतरी खाऊ का?,तू आला,आता काहीतरी खाऊ का
तु काय करतोस?,मला समजलं नाही आहे.,तु काय आहे करतोस,माझ्यासाठी समजलं नाही आहे
काय चाललंय?,काय करता आहात?,सध्या काय सुरू आहे?,काय आहे करता आहात
तु काय करतोस?,थांब ना आहे.,तु काय आहे करतोस,थांबा कृपया आहे
काय चाललंय?,माझं लक्ष नाही आहे.,सध्या काय सुरू आहे?,माझं लक्ष नाही आहे
चल निघूया.,तुम्ही येणार आहात का?,चला निघूया,तुम्ही येणार आहात का
हे मस्त आहे!,कधी भेटू?,हे छान आहे,कधी भेटूया
बघितलंस का?,तुमचं नाव काय?,बघितलंस का,तुमचं नाव काय आहे
सांग ना मला!,हे सगळं खरं आहे का?,कृपया सांगा कृपया माझ्यासाठी,हे सगळं खरं आहे का
काय रे हाच का?,मला काही सांग आहे.,काय आहे महोदय हाच का,माझ्यासाठी काही कृपया सांगा आहे
अजून वेळ लागेल का?,आधी जा आहे.,अजून वेळ लागेल का,आधी जा आहे
खूप भूक लागलीय.,किती दिवस झाले आहेत?,अत्यंत भूक लागलीय,किती दिवस झाले आहेत
चल भेटू नंतर.,आता पोहचलं आहे का?,चला भेटूया पश्चात,आता पोहचलं आहे का
माझं काम झालं.,तुम्ही उशिरा आला का?,माझं काम झाले आहे,तुम्ही उशिरा आला का
कधी येणार?,हे किती आहे?,कधी येणार,हे किती आहे
हा भारी आहे!,मला मदत कराल का?,हा छान आहे,माझ्यासाठी मदत कराल का
थांब जरा!,तुम्ही ठीक आहात का?,थांबा जरा,तुम्ही ठीक आहात का
मस्त चाललंय!,कस चाललंय आहे?,छान चाललंय,कस चाललंय आहे
तुला माहित आहे का?,कधी सुट्टी आहे?,तुला माहिती आहे का,कधी सुट्टी आहे
हे खरं आहे का?,हे घ्या आहे!,हे खरं आहे का,हे घ्या आहे
सुट्टी आहे का?,माझा नंबर घेतला का?,सुट्टी आहे का,माझा नंबर घेतला का
काय झालं रे तुला?,खूप थंड आहे आहे!,काय आहे झाले आहे महोदय तुला,अत्यंत थंड आहे आहे
हे घे.,काय चाललंय आहे ग?,हे घे,काय आहे चाललंय आहे ग
थोडं थांब.,कस वाटलं आहे?,थोडं थांबा,कस वाटलं आहे
आपण भेटलो का पूर्वी?,काय करता आहात आता?,आपण भेटलो का पूर्वी,काय आहे करता आहात आता
तू कुठे जातोय?,तुम्ही तयार आहात का?,तू कुठे जातोय,तुम्ही तयार आहात का
काय रे मजा!,आम्ही जाऊया का?,काय आहे महोदय मजा,आम्ही जाऊया का
काय करतोय तू उद्या?,थोडं शांत आहे!,काय आहे करतोय तू उद्या,थोडं शांत आहे
माझं काही समजलं नाही!,मला समजलं आहे का?,माझं काही समजलं नाही,माझ्यासाठी समजलं आहे का
तू आला का?,कधी येणार आहात?,तू आला का,कधी येणार आहात
थांब थोडा,काय बघता आहात?,थांबा थोडा,काय आहे बघता आहात
कस वाटतंय?,आता काहीच नाही आहे.,कस वाटतंय,आता काहीच नाही आहे
आता पोहचशील का?,तुमचा मित्र आला का?,आता पोहचशील का,तुमचा मित्र आला का
हे मला द्या.,हे काय आहे?,हे माझ्यासाठी द्या,हे काय आहे आहे
काय खायला आहे?,काय झाले आहे?,काय आहे खायला आहे,काय आहे झाले आहे
तुझ्या घरात कोण आहे?,काय करणार आहात?,तुझ्या घरात कोण आहे,काय आहे करणार आहात
मला नको आहे.,मला सांगाल का?,माझ्यासाठी नको आहे,माझ्यासाठी सांगाल का
थोडा जलद करा!,आता थांब आहे!,थोडा जलद करा,आता थांबा आहे
किती वाजले?,तुम्ही तयार आहात का?,सध्या किती वाजले आहेत?,तुम्ही तयार आहात का
तू तयार आहेस?,खूप मजा आली आहे!,तू तयार आहेस,अत्यंत मजा आली आहे
अरे रडू नकोस!,काय खायला आहे?,अरे रडू नकोस,काय आहे खायला आहे
काय करत आहेस?,हे घे आहे,काय आहे करत आहेस,हे घे आहे
काय झालं?,तुमचा अभ्यास झाला का?,काय आहे झाले आहे,तुमचा अभ्यास झाला का
खूप थकलेय.,माझं काम संपलं आहे.,अत्यंत थकलेय,माझं काम संपलं आहे
आता काहीतरी खाऊ का?,आता निघूया का?,आता काहीतरी खाऊ का,आता निघूया का
मला समजलं नाही.,कस चाललंय आहे?,माझ्यासाठी समजलं नाही,कस चाललंय आहे
काय करतोस?,तुम्ही तयार आहात का?,काय आहे करतोस,तुम्ही तयार आहात का
थांब ना!,खूप गरम आहे आहे!,थांबा कृपया,अत्यंत गरम आहे आहे
माझं लक्ष नाही आहे.,माझं लक्ष नाही आहे.,माझं लक्ष नाही आहे,माझं लक्ष नाही आहे
तू येणार आहेस?,कस वाटलं आहे?,तू येणार आहेस,कस वाटलं आहे
कधी भेटू?,तुम्ही काय करता आहात?,कधी भेटूया,तुम्ही काय आहे करता आहात
तुझं नाव काय?,काय चाललंय आहे?,तुझं नाव काय आहे,काय आहे चाललंय आहे
हे सगळं खरं का?,थोडं थांब आहे.,हे सगळं खरं का,थोडं थांबा आहे
मला काही सांग.,कस आहे?,माझ्यासाठी काही कृपया सांगा,कस आहे
आधी जा.,तुम्ही आला का?,आधी जा,तुम्ही आला का
किती दिवस झाले?,तुम्ही काय करता आहात?,किती दिवस झाले,तुम्ही काय आहे करता आहात
आता पोहचलंय?,काय चाललंय आहे?,आता पोहचलंय,काय आहे चाललंय आहे
तू उशिरा आला?,चल निघूया आहे.,तू उशिरा आला,चला निघूया आहे
हे किती आहे?,हे मस्त आहे आहे!,हे किती आहे,हे छान आहे आहे
मला मदत करशील का?,बघितलं का?,माझ्यासाठी मदत करशील का,बघितलं का
तू ठीक आहेस का?,सांग ना मला आहे!,तू ठीक आहेस का,कृपया सांगा कृपया माझ्यासाठी आहे
कस चाललंय?,काय रे हाच आहे का?,कस चाललंय,काय आहे महोदय हाच आहे का
कधी सुट्टी आहे?,अजून वेळ लागेल आहे का?,कधी सुट्टी आहे,अजून वेळ लागेल आहे का
हे घ्या!,खूप भूक लागली आहे.,हे घ्या,अत्यंत भूक लागली आहे
माझा नंबर घेतला?,चल भेटू नंतर आहे.,माझा नंबर घेतला,चला भेटूया पश्चात आहे
खूप थंड आहे!,माझं काम झालं आहे.,अत्यंत थंड आहे,माझं काम झाले आहे आहे
काय चाललंय ग?,कधी येणार?,काय आहे चाललंय ग,कधी येणार
कस वाटलं?,हा भारी आहे आहे!,कस वाटलं,हा छान आहे आहे
काय करतोस आता?,थांब जरा आहे!,काय आहे करतोस आता,थांबा जरा आहे
तुम्ही तयार आहात का?,मस्त चाललंय आहे!,तुम्ही तयार आहात का,छान चाललंय आहे
आम्ही जाऊया का?,तुम्हाला माहित आहे का?,आम्ही जाऊया का,तुम्हाला माहिती आहे का
थोडं शांत!,हे खरं आहे आहे का?,थोडं शांत,हे खरं आहे आहे का
मला समजलं का?,सुट्टी आहे आहे का?,माझ्यासाठी समजलं का,सुट्टी आहे आहे का
कधी येणार आहेस?,काय झाले आहे?,कधी येणार आहेस,काय आहे झाले आहे
काय बघतोय?,हे घे आहे.,काय आहे बघतोय,हे घे आहे
आता काहीच नाही.,तुम्ही काय करता?,आता काहीच नाही,तुम्ही काय आहे करता
तुझा मित्र आला?,काय चाललंय का?,तुझा मित्र आला,काय आहे चाललंय का
हे काय आहे?,चल निघूया आहे.,हे काय आहे आहे,चला निघूया आहे
काय झालं?,हे मस्त आहे आहे!,काय आहे झाले आहे,हे छान आहे आहे
काय करणार?,बघितलंत का?,काय आहे करणार,बघितलंत का
मला सांगशील का?,सांग ना मला आहे!,माझ्यासाठी सांगशील का,कृपया सांगा कृपया माझ्यासाठी आहे
आता थांब!,काय रे हाच आहे का?,आता थांबा,काय आहे महोदय हाच आहे का
तू तयार आहेस?,अजून वेळ लागेल आहे का?,तू तयार आहेस,अजून वेळ लागेल आहे का
खूप मजा आली!,खूप भूक लागली आहे.,अत्यंत मजा आली,अत्यंत भूक लागली आहे
काय खायला आहे?,चल भेटू नंतर आहे.,काय आहे खायला आहे,चला भेटूया पश्चात आहे
हे घे,माझं काम झालं आहे.,हे घे,माझं काम झाले आहे आहे
तुझा अभ्यास झाला?,कधी येणार?,तुझा अभ्यास झाला,कधी येणार
माझं काम संपलं.,हा भारी आहे आहे!,माझं काम संपलं,हा छान आहे आहे
आता निघूया?,थांब जरा आहे!,आता निघूया,थांबा जरा आहे
कस चाललंय?,मस्त चाललंय आहे!,कस चाललंय,छान चाललंय आहे
तुम्ही तयार आहात?,तुम्हाला माहित आहे का?,तुम्ही तयार आहात,तुम्हाला माहिती आहे का
खूप गरम आहे!,हे खरं आहे आहे का?,अत्यंत गरम आहे,हे खरं आहे आहे का
माझं लक्ष नाहीं.,सुट्टी आहे आहे का?,माझं लक्ष नाहीं,सुट्टी आहे आहे का
कस वाटलं?,काय झालं आहे का?,कस वाटलं,काय आहे झाले आहे आहे का
काय करतोय?,हे घे आहे.,काय आहे करतोय,हे घे आहे
काय चाललंय?,थोडं थांब आहे.,सध्या काय सुरू आहे?,थोडं थांबा आहे
थोडं थांब.,आपण भेटलो का पूर्वी?,थोडं थांबा,आपण भेटलो का पूर्वी
कस आहे?,तुम्ही कुठे जाता?,कस आहे,तुम्ही कुठे जाता
तू आला?,काय मजा आहे!,तू आला,काय आहे मजा आहे
तु काय करतोस?,तुम्ही काय करता उद्या?,तु काय आहे करतोस,तुम्ही काय आहे करता उद्या
काय चाललंय?,माझं काही समजलं नाही आहे.,सध्या काय सुरू आहे?,माझं काही समजलं नाही आहे
तु काय करतोस?,तुम्ही आला का?,तु काय आहे करतोस,तुम्ही आला का
काय चाललंय?,थांब थोडा आहे.,सध्या काय सुरू आहे?,थांबा थोडा आहे
चल निघूया.,कस वाटतंय आहे?,चला निघूया,कस वाटतंय आहे
हे मस्त आहे!,आता पोहचशील आहात का?,हे छान आहे,आता पोहचशील आहात का
बघितलंस का?,हे मला द्या आहे.,बघितलंस का,हे माझ्यासाठी द्या आहे
सांग ना मला!,काय खायला आहे आहे?,कृपया सांगा कृपया माझ्यासाठी,काय आहे खायला आहे आहे
काय रे हाच का?,तुमच्या घरात कोण आहे?,काय आहे महोदय हाच का,तुमच्या घरात कोण आहे
अजून वेळ लागेल का?,मला नको आहे आहे.,अजून वेळ लागेल का,माझ्यासाठी नको आहे आहे
खूप भूक लागलीय.,थोडा जलद करा आहे!,अत्यंत भूक लागलीय,थोडा जलद करा आहे
चल भेटू नंतर.,किती वाजले आहे?,चला भेटूया पश्चात,किती वाजले आहे
माझं काम झालं.,तुम्ही तयार आहात का?,माझं काम झाले आहे,तुम्ही तयार आहात का
कधी येणार?,अरे रडू नका!,कधी येणार,अरे रडू नका
हा भारी आहे!,तुम्ही काय करता आहात?,हा छान आहे,तुम्ही काय आहे करता आहात
थांब जरा!,काय झालं आहे?,थांबा जरा,काय आहे झाले आहे आहे
मस्त चाललंय!,खूप थकले आहेत.,छान चाललंय,अत्यंत थकले आहेत
तुला माहित आहे का?,आता काहीतरी खाऊ का?,तुला माहिती आहे का,आता काहीतरी खाऊ का
हे खरं आहे का?,मला समजलं नाही आहे.,हे खरं आहे का,माझ्यासाठी समजलं नाही आहे
सुट्टी आहे का?,काय करता आहात?,सुट्टी आहे का,काय आहे करता आहात
काय झालं रे तुला?,थांब ना आहे.,काय आहे झाले आहे महोदय तुला,थांबा कृपया आहे
हे घे.,माझं लक्ष नाही आहे.,हे घे,माझं लक्ष नाही आहे
थोडं थांब.,तुम्ही येणार आहात का?,थोडं थांबा,तुम्ही येणार आहात का
आपण भेटलो का पूर्वी?,कधी भेटू?,आपण भेटलो का पूर्वी,कधी भेटूया
तू कुठे जातोय?,तुमचं नाव काय?,तू कुठे जातोय,तुमचं नाव काय आहे
काय रे मजा!,हे सगळं खरं आहे का?,काय आहे महोदय मजा,हे सगळं खरं आहे का
काय करतोय तू उद्या?,मला काही सांग आहे.,काय आहे करतोय तू उद्या,माझ्यासाठी काही कृपया सांगा आहे
माझं काही समजलं नाही!,आधी जा आहे.,माझं काही समजलं नाही,आधी जा आहे
तू आला का?,किती दिवस झाले आहेत?,तू आला का,किती दिवस झाले आहेत
थांब थोडा,आता पोहचलं आहे का?,थांबा थोडा,आता पोहचलं आहे का
कस वाटतंय?,तुम्ही उशिरा आला का?,कस वाटतंय,तुम्ही उशिरा आला का
आता पोहचशील का?,हे किती आहे?,आता पोहचशील का,हे किती आहे
हे मला द्या.,मला मदत कराल का?,हे माझ्यासाठी द्या,माझ्यासाठी मदत कराल का
काय खायला आहे?,तुम्ही ठीक आहात का?,काय आहे खायला आहे,तुम्ही ठीक आहात का
तुझ्या घरात कोण आहे?,कस चाललंय आहे?,तुझ्या घरात कोण आहे,कस चाललंय आहे
मला नको आहे.,कधी सुट्टी आहे?,माझ्यासाठी नको आहे,कधी सुट्टी आहे
थोडा जलद करा!,हे घ्या आहे!,थोडा जलद करा,हे घ्या आहे
किती वाजले?,माझा नंबर घेतला का?,सध्या किती वाजले आहेत?,माझा नंबर घेतला का
तू तयार आहेस?,खूप थंड आहे आहे!,तू तयार आहेस,अत्यंत थंड आहे आहे
अरे रडू नकोस!,काय चाललंय आहे ग?,अरे रडू नकोस,काय आहे चाललंय आहे ग
काय करत आहेस?,कस वाटलं आहे?,काय आहे करत आहेस,कस वाटलं आहे
काय झालं?,काय करता आहात आता?,काय आहे झाले आहे,काय आहे करता आहात आता
खूप थकलेय.,तुम्ही तयार आहात का?,अत्यंत थकलेय,तुम्ही तयार आहात का
आता काहीतरी खाऊ का?,आम्ही जाऊया का?,आता काहीतरी खाऊ का,आम्ही जाऊया का
मला समजलं नाही.,थोडं शांत आहे!,माझ्यासाठी समजलं नाही,थोडं शांत आहे
काय करतोस?,मला समजलं आहे का?,काय आहे करतोस,माझ्यासाठी समजलं आहे का
थांब ना!,कधी येणार आहात?,थांबा कृपया,कधी येणार आहात
माझं लक्ष नाही आहे.,काय बघता आहात?,माझं लक्ष नाही आहे,काय आहे बघता आहात
तू येणार आहेस?,आता काहीच नाही आहे.,तू येणार आहेस,आता काहीच नाही आहे
कधी भेटू?,तुमचा मित्र आला का?,कधी भेटूया,तुमचा मित्र आला का
तुझं नाव काय?,हे काय आहे?,तुझं नाव काय आहे,हे काय आहे आहे
हे सगळं खरं का?,काय झाले आहे?,हे सगळं खरं का,काय आहे झाले आहे
मला काही सांग.,काय करणार आहात?,माझ्यासाठी काही कृपया सांगा,काय आहे करणार आहात
आधी जा.,मला सांगाल का?,आधी जा,माझ्यासाठी सांगाल का
किती दिवस झाले?,आता थांब आहे!,किती दिवस झाले,आता थांबा आहे
आता पोहचलंय?,तुम्ही तयार आहात का?,आता पोहचलंय,तुम्ही तयार आहात का
तू उशिरा आला?,खूप मजा आली आहे!,तू उशिरा आला,अत्यंत मजा आली आहे
हे किती आहे?,काय खायला आहे?,हे किती आहे,काय आहे खायला आहे
मला मदत करशील का?,हे घे आहे,माझ्यासाठी मदत करशील का,हे घे आहे
तू ठीक आहेस का?,तुमचा अभ्यास झाला का?,तू ठीक आहेस का,तुमचा अभ्यास झाला का
कस चाललंय?,माझं काम संपलं आहे.,कस चाललंय,माझं काम संपलं आहे
कधी सुट्टी आहे?,आता निघूया का?,कधी सुट्टी आहे,आता निघूया का
हे घ्या!,कस चाललंय आहे?,हे घ्या,कस चाललंय आहे
माझा नंबर घेतला?,तुम्ही तयार आहात का?,माझा नंबर घेतला,तुम्ही तयार आहात का
खूप थंड आहे!,खूप गरम आहे आहे!,अत्यंत थंड आहे,अत्यंत गरम आहे आहे
काय चाललंय ग?,माझं लक्ष नाही आहे.,काय आहे चाललंय ग,माझं लक्ष नाही आहे
कस वाटलं?,कस वाटलं आहे?,कस वाटलं,कस वाटलं आहे
काय करतोस आता?,तुम्ही काय करता आहात?,काय आहे करतोस आता,तुम्ही काय आहे करता आहात
तुम्ही तयार आहात का?,काय चाललंय आहे?,तुम्ही तयार आहात का,काय आहे चाललंय आहे
आम्ही जाऊया का?,थोडं थांब आहे.,आम्ही जाऊया का,थोडं थांबा आहे
थोडं शांत!,कस आहे?,थोडं शांत,कस आहे
मला समजलं का?,तुम्ही आला का?,माझ्यासाठी समजलं का,तुम्ही आला का
कधी येणार आहेस?,तुम्ही काय करता आहात?,कधी येणार आहेस,तुम्ही काय आहे करता आहात
काय बघतोय?,काय चाललंय आहे?,काय आहे बघतोय,काय आहे चाललंय आहे
आता काहीच नाही.,चल निघूया आहे.,आता काहीच नाही,चला निघूया आहे
तुझा मित्र आला?,हे मस्त आहे आहे!,तुझा मित्र आला,हे छान आहे आहे
हे काय आहे?,बघितलं का?,हे काय आहे आहे,बघितलं का
काय झालं?,सांग ना मला आहे!,काय आहे झाले आहे,कृपया सांगा कृपया माझ्यासाठी आहे
काय करणार?,काय रे हाच आहे का?,काय आहे करणार,काय आहे महोदय हाच आहे का
मला सांगशील का?,अजून वेळ लागेल आहे का?,माझ्यासाठी सांगशील का,अजून वेळ लागेल आहे का
आता थांब!,खूप भूक लागली आहे.,आता थांबा,अत्यंत भूक लागली आहे
तू तयार आहेस?,चल भेटू नंतर आहे.,तू तयार आहेस,चला भेटूया पश्चात आहे
खूप मजा आली!,माझं काम झालं आहे.,अत्यंत मजा आली,माझं काम झाले आहे आहे
काय खायला आहे?,कधी येणार?,काय आहे खायला आहे,कधी येणार
हे घे,हा भारी आहे आहे!,हे घे,हा छान आहे आहे
तुझा अभ्यास झाला?,थांब जरा आहे!,तुझा अभ्यास झाला,थांबा जरा आहे
माझं काम संपलं.,मस्त चाललंय आहे!,माझं काम संपलं,छान चाललंय आहे
आता निघूया?,तुम्हाला माहित आहे का?,आता निघूया,तुम्हाला माहिती आहे का
कस चाललंय?,हे खरं आहे आहे का?,कस चाललंय,हे खरं आहे आहे का
तुम्ही तयार आहात?,सुट्टी आहे आहे का?,तुम्ही तयार आहात,सुट्टी आहे आहे का
खूप गरम आहे!,काय झाले आहे?,अत्यंत गरम आहे,काय आहे झाले आहे
माझं लक्ष नाहीं.,हे घे आहे.,माझं लक्ष नाहीं,हे घे आहे
कस वाटलं?,तुम्ही काय करता?,कस वाटलं,तुम्ही काय आहे करता
काय करतोय?,काय चाललंय का?,काय आहे करतोय,काय आहे चाललंय का
काय चाललंय?,चल निघूया आहे.,सध्या काय सुरू आहे?,चला निघूया आहे
थोडं थांब.,हे मस्त आहे आहे!,थोडं थांबा,हे छान आहे आहे
कस आहे?,बघितलंत का?,कस आहे,बघितलंत का
तू आला?,सांग ना मला आहे!,तू आला,कृपया सांगा कृपया माझ्यासाठी आहे
